Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad;Total
Total Nacional;Castilla - La Mancha;Mujeres;De 15 a 29 años;4
Total Nacional;Castilla - La Mancha;Mujeres;De 30 a 39 años;2
Total Nacional;Castilla - La Mancha;Mujeres;De 40 a 44 años;2
Total Nacional;Castilla - La Mancha;Mujeres;De 45 a 49 años;2
Total Nacional;Castilla - La Mancha;Mujeres;De 50 a 54 años;9
Total Nacional;Castilla - La Mancha;Mujeres;De 55 a 59 años;3
Total Nacional;Castilla - La Mancha;Mujeres;De 60 a 64 años;1
Total Nacional;Castilla - La Mancha;Mujeres;De 65 a 69 años;0
Total Nacional;Castilla - La Mancha;Mujeres;De 70 a 74 años;3
Total Nacional;Castilla - La Mancha;Mujeres;De 75 a 79 años;0
Total Nacional;Castilla - La Mancha;Mujeres;De 80 a 84 años;5
Total Nacional;Castilla - La Mancha;Mujeres;De 85 a 89 años;0
Total Nacional;Castilla - La Mancha;Mujeres;De 90 a 94 años;1
Total Nacional;Castilla - La Mancha;Mujeres;De 95 años y más;0
Total Nacional;Cataluña;Ambos sexos;Todas las edades;576
Total Nacional;Cataluña;Ambos sexos;Menores de 15 años;1
Total Nacional;Cataluña;Ambos sexos;De 15 a 29 años;45
Total Nacional;Cataluña;Ambos sexos;De 30 a 39 años;73
Total Nacional;Cataluña;Ambos sexos;De 40 a 44 años;53
Total Nacional;Cataluña;Ambos sexos;De 45 a 49 años;75
Total Nacional;Cataluña;Ambos sexos;De 50 a 54 años;46
Total Nacional;Cataluña;Ambos sexos;De 55 a 59 años;53
Total Nacional;Cataluña;Ambos sexos;De 60 a 64 años;41
Total Nacional;Cataluña;Ambos sexos;De 65 a 69 años;37
Total Nacional;Cataluña;Ambos sexos;De 70 a 74 años;28
Total Nacional;Cataluña;Ambos sexos;De 75 a 79 años;36
Total Nacional;Cataluña;Ambos sexos;De 80 a 84 años;27
Total Nacional;Cataluña;Ambos sexos;De 85 a 89 años;37
Total Nacional;Cataluña;Ambos sexos;De 90 a 94 años;21
Total Nacional;Cataluña;Ambos sexos;De 95 años y más;3
Total Nacional;Cataluña;Hombres;Todas las edades;435
Total Nacional;Cataluña;Hombres;Menores de 15 años;1
Total Nacional;Cataluña;Hombres;De 15 a 29 años;34
Total Nacional;Cataluña;Hombres;De 30 a 39 años;52
